Index_ID,Team,Season,Conference,Division,GP,W,L,QTL,Pts,GF,GA,Diff
0,Montréal Canadiens,19171918,,,22,13,9,0,26,116,84,32
1,Toronto Arenas,19171918,,,22,13,9,0,26,109,109,0
2,Ottawa Senators (1917),19171918,,,22,9,13,0,18,102,114,-12
3,Montreal Wanderers,19171918,,,6,1,5,0,2,17,37,-20
4,Ottawa Senators (1917),19181919,,,18,12,6,0,24,71,53,18
5,Montréal Canadiens,19181919,,,18,10,8,0,20,88,78,10
6,Toronto Arenas,19181919,,,18,5,13,0,10,64,92,-28
7,Ottawa Senators (1917),19191920,,,24,19,5,0,38,121,64,57
8,Montréal Canadiens,19191920,,,24,13,11,0,26,129,113,16
9,Toronto St. Patricks,19191920,,,24,12,12,0,24,119,106,13
10,Quebec Bulldogs,19191920,,,24,4,20,0,8,91,177,-86
11,Toronto St. Patricks,19201921,,,24,15,9,0,30,105,100,5
12,Ottawa Senators (1917),19201921,,,24,14,10,0,28,97,75,22
13,Montréal Canadiens,19201921,,,24,13,11,0,26,112,99,13
14,Hamilton Tigers,19201921,,,24,6,18,0,12,92,132,-40
15,Ottawa Senators (1917),19211922,,,24,14,8,0,30,106,84,22
16,Toronto St. Patricks,19211922,,,24,13,10,0,27,98,97,1
17,Montréal Canadiens,19211922,,,24,12,11,0,25,88,94,-6
18,Hamilton Tigers,19211922,,,24,7,17,0,14,88,105,-17
19,Ottawa Senators (1917),19221923,,,24,14,9,0,29,77,54,23
20,Montréal Canadiens,19221923,,,24,13,9,0,28,73,61,12
21,Toronto St. Patricks,19221923,,,24,13,10,0,27,82,88,-6
22,Hamilton Tigers,19221923,,,24,6,18,0,12,81,110,-29
23,Ottawa Senators (1917),19231924,,,24,16,8,0,32,74,54,20
24,Montréal Canadiens,19231924,,,24,13,11,0,26,59,48,11
25,Toronto St. Patricks,19231924,,,24,10,14,0,20,59,85,-26
26,Hamilton Tigers,19231924,,,24,9,15,0,18,63,68,-5
27,Hamilton Tigers,19241925,,,30,19,10,0,39,90,60,30
28,Toronto St. Patricks,19241925,,,30,19,11,0,38,90,84,6
29,Montréal Canadiens,19241925,,,30,17,11,0,36,93,56,37
30,Ottawa Senators (1917),19241925,,,30,17,12,0,35,83,66,17
31,Montreal Maroons,19241925,,,30,9,19,0,20,45,65,-20
32,Boston Bruins,19241925,,,30,6,24,0,12,49,119,-70
33,Ottawa Senators (1917),19251926,,,36,24,8,0,52,77,42,35
34,Montreal Maroons,19251926,,,36,20,11,0,45,91,73,18
35,Pittsburgh Pirates,19251926,,,36,19,16,0,39,82,70,12
36,Boston Bruins,19251926,,,36,17,15,0,38,92,85,7
37,New York Americans,19251926,,,36,12,20,0,28,68,89,-21
38,Toronto St. Patricks,19251926,,,36,12,21,0,27,92,114,-22
39,Montréal Canadiens,19251926,,,36,11,24,0,23,79,108,-29
40,Ottawa Senators (1917),19261927,,Canadian,44,30,10,0,64,86,69,17
41,Montréal Canadiens,19261927,,Canadian,44,28,14,0,58,99,67,32
42,Montreal Maroons,19261927,,Canadian,44,20,20,0,44,71,68,3
43,New York Americans,19261927,,Canadian,44,17,25,0,36,82,91,-9
44,Toronto St. Patricks,19261927,,Canadian,44,15,24,0,35,79,94,-15
45,New York Rangers,19261927,,American,44,25,13,0,56,95,72,23
46,Boston Bruins,19261927,,American,44,21,20,0,45,97,89,8
47,Chicago Blackhawks,19261927,,American,44,19,22,0,41,115,116,-1
48,Pittsburgh Pirates,19261927,,American,44,15,26,0,33,79,108,-29
49,Detroit Cougars,19261927,,American,44,12,28,0,28,76,105,-29
50,Montréal Canadiens,19271928,,Canadian,44,26,11,0,59,116,48,68
51,Montreal Maroons,19271928,,Canadian,44,24,14,0,54,96,77,19
52,Ottawa Senators (1917),19271928,,Canadian,44,20,14,0,50,78,57,21
53,Toronto Maple Leafs,19271928,,Canadian,44,18,18,0,44,89,88,1
54,New York Americans,19271928,,Canadian,44,11,27,0,28,63,128,-65
55,Boston Bruins,19271928,,American,44,20,13,0,51,77,70,7
56,New York Rangers,19271928,,American,44,19,16,0,47,94,79,15
57,Pittsburgh Pirates,19271928,,American,44,19,17,0,46,67,76,-9
58,Detroit Cougars,19271928,,American,44,19,19,0,44,88,79,9
59,Chicago Blackhawks,19271928,,American,44,7,34,0,17,68,134,-66
60,Montréal Canadiens,19281929,,Canadian,44,22,7,0,59,71,43,28
61,New York Americans,19281929,,Canadian,44,19,13,0,50,53,53,0
62,Toronto Maple Leafs,19281929,,Canadian,44,21,18,0,47,85,69,16
63,Ottawa Senators (1917),19281929,,Canadian,44,14,17,0,41,54,67,-13
64,Montreal Maroons,19281929,,Canadian,44,15,20,0,39,67,65,2
65,Boston Bruins,19281929,,American,44,26,13,0,57,89,52,37
66,New York Rangers,19281929,,American,44,21,13,0,52,72,65,7
67,Detroit Cougars,19281929,,American,44,19,16,0,47,72,63,9
68,Pittsburgh Pirates,19281929,,American,44,9,27,0,26,46,80,-34
69,Chicago Blackhawks,19281929,,American,44,7,29,0,22,33,85,-52
70,Boston Bruins,19291930,,American,44,38,5,0,77,179,98,81
71,Chicago Blackhawks,19291930,,American,44,21,18,0,47,117,111,6
72,New York Rangers,19291930,,American,44,17,17,0,44,136,143,-7
73,Detroit Cougars,19291930,,American,44,14,24,0,34,117,133,-16
74,Pittsburgh Pirates,19291930,,American,44,5,36,0,13,102,185,-83
75,Montreal Maroons,19291930,,Canadian,44,23,16,0,51,141,114,27
76,Montréal Canadiens,19291930,,Canadian,44,21,14,0,51,142,114,28
77,Ottawa Senators (1917),19291930,,Canadian,44,21,15,0,50,138,118,20
78,Toronto Maple Leafs,19291930,,Canadian,44,17,21,0,40,116,124,-8
79,New York Americans,19291930,,Canadian,44,14,25,0,33,113,161,-48
80,Boston Bruins,19301931,,American,44,28,10,0,62,143,90,53
81,Chicago Blackhawks,19301931,,American,44,24,17,0,51,108,78,30
82,New York Rangers,19301931,,American,44,19,16,0,47,106,87,19
83,Detroit Falcons,19301931,,American,44,16,21,0,39,102,105,-3
84,Philadelphia Quakers,19301931,,American,44,4,36,0,12,76,184,-108
85,Montréal Canadiens,19301931,,Canadian,44,26,10,0,60,129,89,40
86,Toronto Maple Leafs,19301931,,Canadian,44,22,13,0,53,118,99,19
87,Montreal Maroons,19301931,,Canadian,44,20,18,0,46,105,106,-1
88,New York Americans,19301931,,Canadian,44,18,16,0,46,76,74,2
89,Ottawa Senators (1917),19301931,,Canadian,44,10,30,0,24,91,142,-51
90,Montréal Canadiens,19311932,,Canadian,48,25,16,0,57,128,111,17
91,Toronto Maple Leafs,19311932,,Canadian,48,23,18,0,53,155,127,28
